,geometry,x,y
0,"(34.78940496642863, 32.07917751168664)",34.78940496642863,32.07917751168664
1,"(34.791077066563496, 32.080752646870124)",34.791077066563496,32.080752646870124
2,"(34.790428279605486, 32.08010068260169)",34.790428279605486,32.08010068260169
3,"(34.76263675643714, 32.035662845813114)",34.76263675643714,32.035662845813114
4,"(34.84647082739775, 32.049104639050825)",34.84647082739775,32.049104639050825
5,"(34.77524958425969, 32.07949046225357)",34.77524958425969,32.07949046225357
6,"(34.77486689182583, 32.044335506112084)",34.77486689182583,32.044335506112084
7,"(34.7909799228524, 32.06920043702091)",34.7909799228524,32.06920043702091
8,"(34.748096759179205, 32.03987289069664)",34.748096759179205,32.03987289069664
9,"(34.76716646323195, 32.07336364527628)",34.76716646323195,32.07336364527628
10,"(34.754747418296695, 32.045976472184535)",34.754747418296695,32.045976472184535
11,"(34.81895680437976, 32.11730724337233)",34.81895680437976,32.11730724337233
12,"(34.77380331113798, 32.08621644525643)",34.77380331113798,32.08621644525643
13,"(34.79829921800287, 32.11253514644381)",34.79829921800287,32.11253514644381
14,"(34.74467320754294, 32.03302417770181)",34.74467320754294,32.03302417770181
15,"(34.75309439377984, 32.047876325539555)",34.75309439377984,32.047876325539555
16,"(34.74681232591785, 32.03578764651716)",34.74681232591785,32.03578764651716
17,"(34.80100674639446, 32.0589366906371)",34.80100674639446,32.0589366906371
18,"(34.78323895099789, 32.05724141087107)",34.78323895099789,32.05724141087107
19,"(34.790073968041845, 32.05639300444111)",34.790073968041845,32.05639300444111
20,"(34.75782888208403, 32.04526281065048)",34.75782888208403,32.04526281065048
21,"(34.77227432180635, 32.06553367744804)",34.77227432180635,32.06553367744804
22,"(34.78784640487336, 32.079378780794656)",34.78784640487336,32.079378780794656
23,"(34.80113630159984, 32.058442984348815)",34.80113630159984,32.058442984348815
24,"(34.79040531022234, 32.08128882104301)",34.79040531022234,32.08128882104301
25,"(34.841010907379946, 32.117115488003435)",34.841010907379946,32.117115488003435
26,"(34.74567259439276, 32.03365948413834)",34.74567259439276,32.03365948413834
27,"(34.78275864611834, 32.07090549843442)",34.78275864611834,32.07090549843442
28,"(34.79111709650506, 32.078169506825056)",34.79111709650506,32.078169506825056
29,"(34.77825122187599, 32.067877194004346)",34.77825122187599,32.067877194004346
30,"(34.78699955417643, 32.09308709305896)",34.78699955417643,32.09308709305896
31,"(34.77950889601068, 32.090122433032526)",34.77950889601068,32.090122433032526
32,"(34.84029268226762, 32.10893451050433)",34.84029268226762,32.10893451050433
33,"(34.7967315139515, 32.11255303290792)",34.7967315139515,32.11255303290792
34,"(34.785537717667054, 32.0761783451694)",34.785537717667054,32.0761783451694
35,"(34.77498015977248, 32.078530760370285)",34.77498015977248,32.078530760370285
36,"(34.77263712506405, 31.991613593558267)",34.77263712506405,31.991613593558267
37,"(34.867528473700446, 32.090569877364345)",34.867528473700446,32.090569877364345
38,"(34.88222417962272, 32.07885291943305)",34.88222417962272,32.07885291943305
39,"(34.8880244693083, 32.08805145196048)",34.8880244693083,32.08805145196048
40,"(34.74847932518948, 32.028065750364)",34.74847932518948,32.028065750364
41,"(34.803228195208426, 32.177446241487935)",34.803228195208426,32.177446241487935
42,"(34.84437921238236, 32.08496882500173)",34.84437921238236,32.08496882500173
43,"(34.84147711162534, 31.96683756106523)",34.84147711162534,31.96683756106523
44,"(34.76315033782805, 32.04515539936526)",34.76315033782805,32.04515539936526
45,"(34.79111476844203, 32.07990868747759)",34.79111476844203,32.07990868747759
46,"(34.83891709221436, 32.108172876728354)",34.83891709221436,32.108172876728354
